GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Application,Dto.Tripulante,TripulanteDto,33,23,0,0,12,12,6,6,6,6
Application,UsesCases.Queries.Tripulante.GetAll,GetAllTripulanteQuery,3,0,0,0,2,0,1,0,1,0
Application,UsesCases.Queries.Tripulante.GetAll,GetAllTripulanteHandler,10,0,0,0,4,0,2,0,2,0
Application,default,Application,17,0,0,0,8,0,2,0,2,0
Application,UsesCases.Command.Tripulante.Eliminar,EliminarTripulanteHandler,33,0,2,0,9,0,3,0,2,0
Application,UsesCases.Command.Tripulante.Eliminar,EliminarTripulanteCommand,12,0,0,0,4,0,1,0,1,0
Application,Services,TripulanteService,3,0,0,0,1,0,1,0,1,0
Application,Dto.Cargo,CargoDto,9,7,0,0,4,4,2,2,2,2
Application,UsesCases.Command.Tripulante.Editar,EditarTripulanteHandler,38,0,0,0,11,0,2,0,2,0
Application,UsesCases.Command.Tripulante.Editar,EditarTripulanteCommand,12,0,0,0,4,0,1,0,1,0
Application,UsesCases.Queries.Tripulante.GetByKey,GetTripulanteByKeyHandler,44,0,2,0,12,0,3,0,2,0
Application,UsesCases.Queries.Tripulante.GetByKey,GetTripulanteByKeyQuery,6,0,0,0,3,0,1,0,1,0
Application,UsesCases.Command.Cargo.UpdateCargoWhenTripulanteCreado,UpdateCargoWhenTripulanteCreado,11,0,0,0,5,0,2,0,2,0
Application,UsesCases.Command.Tripulante.Crear,CrearTripulanteHandler,0,39,0,0,0,10,0,2,0,2
Application,UsesCases.Command.Tripulante.Crear,CrearTripulanteCommand,0,6,0,0,0,3,0,1,0,1
